subject,split,trial_id,task,sequence_length,movement_mean,movement_std,movement_max,movement_min,movement_median,movement_cv,movement_kurtosis,scanpath_length,gaze_dispersion,center_distance_mean,center_distance_std,center_distance_max,gaze_velocity_mean,gaze_velocity_std,gaze_velocity_max,fixation_mean_duration,fixation_max_duration,fixation_count,hull_area
sub-039,valid,0,listening,13,-0.278812085538662,-0.49407146974155924,-0.47398981236823956,-0.02314441503991528,-0.08305187458304389,0.5343483634237943,0.2678628627395062,-0.3918889285239374,-0.589623539648742,0.34237497364028074,-0.5477581345383286,0.06097337170522503,-0.2745874303207975,-0.4668655538215351,-0.6154301691450622,-0.0734764350217761,-0.15355884767959688,0.21031868712794838,-0.650381472749392
sub-039,valid,1,listening,9,-0.28784052258584747,-0.5771054685847683,-0.7364634343726747,-0.02314441503991528,-0.08543067274338413,0.013521391471765115,0.8526154910545009,-0.4848726223829442,-0.9799069072975074,0.14387209382737529,-1.0628061546182013,0.2481630867874447,-0.27513486563621875,-0.46734239662193733,-0.6167789352289521,-0.08482088566056438,-0.27869380093428275,-0.23419899246044992,-0.8670227048689365
sub-039,valid,2,listening,5,-0.2612221431466403,-0.42825748266936225,-0.7088259705128347,-0.02314441503991528,-0.08627504513864186,0.4702379448248822,-0.24007506518999214,-0.4825083221682506,-0.8950233245238058,0.21345475169967412,-0.9990913336714772,0.06527892827107477,-0.2730074752121464,-0.4663097008872857,-0.6170303859519186,-0.13723948348942455,-0.15355884767959688,-0.6046303921174485,-0.892084971037115
sub-039,valid,3,memory,5,-0.26019595658907185,-0.49293749620744376,-0.7690739727849776,-0.02314441503991528,-0.0870523609239434,-0.06791737218921398,-0.19533307705930805,-0.4317715063087907,-0.12170372727893648,0.5286277233189539,0.3115039098122478,0.29122996475376733,-0.27055795593435605,-0.46492681251597356,-0.6130365380089092,-0.04053042867104096,-0.15355884767959688,-0.3731107673318244,-0.5975404181042558
sub-039,valid,4,memory,13,-0.19793325294055333,-0.20521385445161178,0.6522385895297836,-0.02314441503991528,-0.08043123304914802,0.30377005795412354,-0.06233751233100788,0.010481691097158215,0.6129898048489592,0.9906650086689066,1.2079063671601833,0.7939429656933674,-0.2459993114908657,-0.4013811495377541,-0.44920790472873334,-0.33149080758483573,-0.02842389442491098,0.6108476380070781,0.7196670946174585
sub-039,valid,5,memory,9,-0.19858642078839214,-0.4353518965416376,-1.0794349026965848,-0.02314441503991528,-0.06830583394449811,-0.7290870637771424,-0.720870193670218,-0.1586261790869808,0.33264586616484015,1.1334682620927399,1.1450585452345312,0.7877437217631368,-0.25539182396794086,-0.4590092378829053,-0.6059643869105101,-0.3682043210490928,-0.27869380093428275,0.09455887473513631,-0.5849724662229427
sub-039,valid,6,memory,5,-0.05808968102278567,-0.12196360129197385,-0.016910798890611974,-0.02314441503991528,-0.02881789814446213,-0.7545009077050063,-0.6988075319878276,-0.14271118377332448,-0.46456259444421255,0.7548408647854987,-0.46648609607423147,0.921149324811859,-0.22805127321289853,-0.4515929366019814,-0.6100600013739843,-0.2689819167260344,-0.27869380093428275,-0.6694558870574232,-0.43814104193029485
sub-039,valid,7,memory,5,0.015254672759344027,0.7278914398947753,0.9417219543832901,-0.02314441503991528,-0.06884804682639671,0.5087103624573993,-0.6588225039402671,-0.0335498738752088,1.1327476552507356,1.2105658252409246,0.1528774702453143,0.829524091213745,-0.22357739671188487,-0.42605806628566967,-0.5869062422078287,0.28712892690160396,0.7223858251032044,-0.7875308956980915,0.5350195877935385
sub-039,valid,8,memory,9,0.5528483654382143,2.5567722373439845,2.0388726908429917,-0.02314441503991528,-0.05640081943590613,0.2045024270683061,-0.7564371759508138,1.7933393901030712,1.45864576497645,0.05682773672283237,2.04531540020811,1.1731852278291928,-0.08905441751823559,-0.36531306264095803,-0.5765102951705185,-0.005103383725102838,0.5972508718485185,-0.2990244874004247,1.2627728897653057
sub-039,valid,9,memory,13,0.7378373263462623,1.5872481330399477,2.1199597956372584,-0.02314441503991528,0.08456351927965919,-0.8147716047504053,-0.755056187253706,1.336590363133173,2.0767664595526694,0.8908680163059238,1.276923175649545,1.4280197442385827,-0.10880655336460081,-0.4311900705141175,-0.5884884770760563,-0.30463316409558283,-0.27869380093428275,-0.627782354596011,1.4287037412147634
sub-039,valid,10,memory,13,0.5836747905496485,1.30484981244534,2.6577286264487925,-0.02314441503991528,0.005354958314275464,-0.776231462434128,-0.7423588679127735,3.5279333963536437,2.2602382582186653,0.3381437733228179,1.93633877103276,1.2622215362608113,-0.10335638233923386,-0.42659457733600614,-0.5979678247010844,0.2551773188865629,0.09671105882977492,0.3654368357343165,1.7116947524060295
sub-039,valid,11,memory,5,-0.2659547367020477,-0.4757107414521438,-0.6653362469862869,-0.02314441503991528,-0.08198871865597332,0.23554405204467474,0.0643479666334707,-0.4508058279818801,-0.6569749993375387,0.8844677803848715,-0.5323649620516384,0.5319360601933757,-0.27318369899041217,-0.46701514373141173,-0.6163725223016183,-0.10155069498868034,-0.15355884767959688,-0.3823715523232494,-0.7806691600358252
